timestamp,x,y
1657651200.000,0.000000,0.000000
1657651211.000,2.144896,-0.411421
1657651214.000,5.034079,0.578214
1657651215.000,7.124845,0.911798
1657651217.000,9.317105,0.934037
1657651219.000,11.577028,1.356578
1657651222.000,14.121132,2.212779
1657651224.000,15.785626,3.558238
1657651230.000,17.768133,4.169810
1657651234.000,20.521990,5.392954
1657651237.000,23.343510,5.593105
1657651241.000,25.664329,5.459671
1657651244.000,25.474874,8.595368
1657651246.000,26.604835,11.108373
1657651248.000,28.140771,12.620624
1657651249.000,29.954122,11.597631
1657651249.000,30.908161,9.774034
1657651250.000,31.929862,6.482664
1657651251.000,32.910966,3.613835
1657651251.000,34.467200,-0.711648
1657651252.000,35.353577,-2.746515
1657651252.000,37.376681,-7.627972
1657651253.000,39.068240,-12.042411
1657651254.000,40.665071,-16.023189
1657651254.000,39.832824,-13.932724
1657651255.000,41.564980,-18.024698
1657651256.000,43.087383,-20.748973
1657651257.000,44.596254,-23.973626
1657651259.000,46.050994,-26.186405
1657651260.000,47.241851,-27.865449
1657651261.000,49.089034,-28.999637
1657651262.000,52.573644,-28.788367
1657651263.000,53.602112,-25.630431
1657651264.000,55.733476,-21.972118
1657651265.000,56.159749,-18.424999
1657651266.000,55.428996,-15.778560
1657651267.000,53.805099,-9.840751
1657651268.000,53.108177,-7.172073
1657651269.000,52.641307,-4.748023
1657651271.000,52.005281,-2.746515
1657651274.000,53.974255,-3.558238
1657651286.000,56.653684,-4.125332
1657651288.000,59.231620,-5.103847
1657651289.000,61.362984,-6.104601
1657651291.000,63.534945,-7.071997
1657651293.000,65.646010,-7.783645
1657651295.000,67.533790,-8.550890
1657651298.000,69.597491,-8.695443
1657651300.000,76.864427,-7.627972
1657651301.000,80.376103,-7.016400
1657651303.000,82.839013,-6.404828
1657651312.000,84.314052,-4.903696
1657651313.000,85.728195,-3.324728
1657651314.000,88.184338,-0.789484
1657651315.000,89.970624,0.400302
1657651316.000,92.244079,1.690163
1657651317.000,94.307781,2.735395
1657651318.000,98.455483,4.592350
1657651319.000,103.503094,6.693935
1657651320.000,107.928211,8.417456
1657651322.000,111.196303,9.262537
1657651323.000,113.801303,9.573883
1657651324.000,115.973265,11.486436
1657651326.000,117.847512,12.298159
1657651327.000,122.563577,13.610259
1657651328.000,125.263305,14.466460
1657651330.000,128.558461,14.677730
1657651331.000,131.772423,14.410862
1657651332.000,134.363891,14.055039
1657651333.000,136.535852,13.910485
1657651335.000,138.694281,13.576901
1657651339.000,141.394009,13.632498
1657651341.000,143.275022,12.531668
1657651342.000,145.521412,9.318135
1657651343.000,147.713672,6.516023
1657651344.000,150.196880,3.535999
1657651345.000,151.759881,1.823597
1657651346.000,153.512335,0.800603
1657651346.000,155.535440,-0.678289
1657651347.000,158.891492,-3.002263
1657651349.000,161.266440,-3.891822
1657651352.000,163.553428,-2.946666
1657651353.000,162.511428,-0.233509
1657651355.000,162.261077,2.724276
1657651358.000,162.612921,5.092728
1657651361.000,162.308441,8.728802
1657651361.000,163.553428,7.105356
1657651365.000,162.464064,11.208449
1657651368.000,162.599389,13.643617
1657651370.000,164.216519,15.756321
1657651371.000,164.663090,18.191490
1657651372.000,163.560194,19.948370
1657651375.000,162.017493,21.493979
1657651378.000,161.516791,24.129299
1657651383.000,163.519597,24.774230
1657651397.000,165.089363,26.886933
1657651398.000,165.630662,33.013774
1657651398.000,165.150259,30.222781
1657651399.000,166.415545,35.426704
1657651401.000,168.425117,37.383734
1657651403.000,170.840663,37.139105
1657651411.000,172.755507,37.761797
1657651412.000,175.448469,39.518677
1657651413.000,178.750391,41.097645
1657651414.000,180.665236,42.265192
1657651416.000,182.607145,43.855279
1657651418.000,184.833236,46.101417
1657651443.000,186.179717,48.647780
1657651444.000,187.830678,50.538094
1657651446.000,189.542536,51.850194
1657651451.000,191.315289,50.460258
1657651453.000,190.564237,47.747102
1657651457.000,188.547899,46.668511
1657651471.000,186.254146,48.503227
1657651480.000,188.710289,50.248987
1657651481.000,191.788926,51.283100
1657651483.000,195.036718,52.439527
1657651484.000,196.985394,53.751628
1657651485.000,198.934070,54.741262
1657651486.000,201.180460,56.331350
1657651488.000,202.993811,57.988154
1657651490.000,204.299694,60.389965
1657651491.000,205.030447,62.335876
1657651493.000,206.268668,64.526416
1657651495.000,207.168577,66.527925
1657651500.000,208.061720,69.430112
1657651501.000,209.022526,71.531696
1657651503.000,209.929201,73.644400
1657651504.000,211.411007,75.379041
1657651505.000,213.089033,78.181153
1657651506.000,214.537007,80.571844
1657651507.000,215.673735,82.373202
1657651509.000,216.966085,84.130081
1657651513.000,218.820034,85.853603
1657651514.000,220.748411,87.265778
1657651515.000,222.548229,88.366608
1657651516.000,224.618697,89.856620
1657651517.000,226.391451,91.279915
1657651519.000,228.658139,92.992317
1657651521.000,231.371399,94.638002
1657651523.000,233.435101,95.861146
1657651525.000,235.884478,97.618026
1657651526.000,237.237725,99.108038
1657651528.000,238.841323,100.720365
1657651530.000,240.268998,102.243735
1657651532.000,243.022856,104.634426
1657651533.000,245.066259,106.135557
1657651534.000,246.507467,107.525494
1657651536.000,247.867480,109.349091
1657651541.000,247.759220,111.350600
1657651549.000,248.571168,113.207555
1657651551.000,250.607805,113.441064
1657651553.000,252.942156,114.475177
1657651555.000,254.802871,116.165340
1657651557.000,257.577027,116.220937
1657651558.000,259.701625,115.831755
1657651562.000,265.202573,118.055654
1657651564.000,267.171548,119.200961
1657651567.000,268.673652,121.146873
1657651571.000,269.769782,123.037186
1657651575.000,271.468107,124.960859
1657651576.000,274.086640,127.718493
1657651577.000,276.021783,129.631045
1657651577.000,279.486095,132.978013
1657651578.000,281.407706,134.701534
1657651578.000,285.068239,137.792753
1657651579.000,287.977720,140.072249
1657651579.000,289.736941,141.250915
1657651586.000,318.567867,140.795016
1657651587.000,322.972686,140.127847
1657651588.000,327.181284,139.616350
1657651589.000,329.387077,139.827620
1657651590.000,331.910882,140.250161
1657651591.000,334.258766,140.205683
1657651592.000,336.288636,139.961054
1657651594.000,335.733805,137.970665
1657651595.000,334.421156,134.456905
1657651595.000,331.504908,130.187020
1657651596.000,331.308688,126.917889
1657651597.000,330.611765,124.271450
1657651599.000,328.412739,123.014947
1657651601.000,325.537089,126.350795
1657651602.000,320.184997,133.289359
1657651603.000,315.069724,139.927696
1657651608.000,314.731412,140.594865
1657651611.000,315.090023,138.504401
1657651615.000,315.367438,135.657811
1657651617.000,315.847841,133.344956
1657651619.000,315.306542,131.354567
1657651621.000,319.291854,131.499120
1657651622.000,320.990179,132.711145
1657651623.000,322.431387,134.556981
1657651624.000,324.440959,135.902439
1657651625.000,326.768544,137.236778
1657651626.000,328.520999,138.337608
1657651893.000,394.985723,140.227922
1657651895.000,396.311905,138.148577
1657651897.000,398.132023,137.025508
1657651898.000,400.743789,136.058112
1657651903.000,402.760127,135.335345
1657651905.000,405.398959,134.946163
1657651906.000,407.746842,134.112201
1657651908.000,410.148856,132.889057
1657651909.000,411.962206,131.454642
1657651910.000,413.572570,129.397536
1657651911.000,415.297960,127.307072
1657651912.000,417.016584,125.683626
1657651913.000,418.775805,124.293689
1657651914.000,420.616221,123.003828
1657651915.000,422.416039,122.047551
1657651916.000,424.479741,121.280306
1657651918.000,427.050910,120.690973
1657651920.000,429.283768,120.857766
1657651921.000,432.254145,121.269187
1657651923.000,434.777950,121.736206
1657651925.000,437.396483,121.713967
1657651927.000,439.798496,121.558294
1657651928.000,442.944796,121.802923
1657651930.000,445.400939,122.225463
1657651932.000,448.235991,122.080910
1657651934.000,450.705667,122.959350
1657651935.000,452.600213,123.704356
1657651937.000,454.860135,123.548683
1657651940.000,456.720850,122.414495
1657651941.000,457.742551,120.524181
1657651943.000,457.255382,117.488559
1657651945.000,456.355473,114.964435
1657651947.000,454.183512,113.930322
1657651955.000,457.729019,113.552259
1657651955.000,461.173032,112.451429
1657651956.000,463.263799,112.073367
1657651957.000,466.667215,111.717543
1657651958.000,469.556397,111.661945
1657651959.000,473.304891,111.717543
1657651961.000,479.922269,111.762021
1657651961.000,477.263139,111.973291
1657651962.000,482.479906,112.306876
1657651964.000,484.557140,114.063756
1657651966.000,486.891491,115.142347
1657651969.000,489.232608,114.742045
1657651970.000,491.614323,114.597491
1657651972.000,492.906674,117.166094
1657651974.000,495.085401,118.934094
1657651976.000,497.602440,120.379628
1657651978.000,499.429324,121.558294
1657651980.000,501.222376,123.081664
1657651982.000,501.953129,124.971978
1657651984.000,503.218415,126.973487
1657651985.000,504.761117,128.619172
1657651987.000,506.100831,130.220379
1657651989.000,508.015676,131.899422
1657651990.000,510.235001,132.844579
1657651992.000,512.440793,134.089962
1657651993.000,514.633053,135.090716
1657651995.000,517.231288,136.569609
1657651998.000,519.504743,137.559244
1657652000.000,521.683470,137.926187
1657652001.000,523.943393,139.638589
1659722035.000,1066.926970,-969.430729
1659722036.000,1067.711853,-968.174226
1659722037.000,1068.056931,-966.795409
1659722038.000,1068.571165,-965.405473
1659722039.000,1069.403412,-963.993297
1659722040.000,1070.222126,-962.570002
1659722041.000,1070.986711,-961.180065
1659722042.000,1071.636269,-959.934682
1659722043.000,1072.197867,-958.533626
1659722044.000,1072.915088,-957.288243
1659722045.000,1073.612010,-956.009501
1659722046.000,1074.099179,-954.797477
1659722047.000,1074.518685,-953.518735
1659722048.000,1074.951724,-952.284471
1659722049.000,1075.330634,-950.927893
1659722050.000,1075.871932,-949.549076
1659722051.000,1076.426764,-948.337051
1659722052.000,1076.954530,-947.158385
1659722053.000,1077.461998,-945.801807
1659722054.000,1077.935634,-944.356273
1659722055.000,1078.422803,-942.988575
1659722056.000,1079.126491,-941.732073
1659722057.000,1079.640725,-940.342136
1659722058.000,1080.500037,-938.974439
1659722059.000,1081.352583,-937.806892
1659722060.000,1081.914180,-936.505911
1659722061.000,1082.347219,-935.160453
1659722062.000,1082.719362,-933.681560
1659722063.000,1083.145635,-932.369460
1659722064.000,1083.382453,-930.879448
1659722065.000,1083.984648,-929.645184
1659722066.000,1085.040181,-928.588832
1659722067.000,1085.967155,-927.421286
1659722068.000,1086.413726,-925.831198
1659722069.000,1086.873830,-924.396784
1659722070.000,1087.401596,-923.184759
1659722071.000,1088.030856,-921.983854
1659722072.000,1088.944298,-920.738471
1659722073.000,1089.803610,-919.559804
1659722074.000,1090.649389,-918.392258
1659722075.000,1091.576363,-916.980082
1659722076.000,1092.625130,-915.701340
1659722077.000,1093.491208,-914.411479
1659722078.000,1094.289624,-912.988184
1659722079.000,1094.945948,-911.720562
1659722080.000,1095.345156,-910.452940
1659722081.000,1095.683468,-909.229796
1659722082.000,1096.272130,-907.984413
1659722083.000,1096.739001,-906.739029
1659722084.000,1097.226169,-905.649319
1659722085.000,1097.320897,-904.526250
1659722086.000,1097.889260,-903.369823
1659722087.000,1098.735040,-902.458025
1659722088.000,1099.364300,-901.390553
1659722089.000,1099.919131,-900.400919
1659722090.000,1100.920534,-899.578076
1659722091.000,1101.928703,-898.788592
1659722092.000,1102.476768,-897.609926
1659722093.000,1102.598560,-896.409021
1659722094.000,1102.943638,-895.208115
1659722095.000,1103.078963,-893.984971
1659722096.000,1102.950404,-892.539437
1659722097.000,1103.112794,-891.093903
1659722098.000,1103.309015,-889.804042
1659722099.000,1103.444339,-888.580898
1659722100.000,1103.762352,-887.313276
1659722101.000,1104.317184,-886.201326
1659722102.000,1105.426846,-885.144975
1659722103.000,1106.597405,-883.899591
1659722104.000,1107.389054,-882.598611
1659722105.000,1108.201002,-881.353228
1659722106.000,1109.121210,-880.285756
1659722107.000,1110.257938,-879.173807
1659722108.000,1111.225509,-878.095216
1659722109.000,1112.260743,-876.949908
1659722110.000,1113.796678,-876.049230
1659722111.000,1115.136393,-875.348702
1659722112.000,1116.489640,-874.948400
1659722113.000,1117.457212,-873.880928
1659722114.000,1118.248861,-872.846816
1659722115.000,1119.081108,-871.912778
1659722116.000,1120.129874,-871.223370
1659722117.000,1122.092082,-871.156653
1659722118.000,1123.052888,-870.645156
1659722119.000,1123.587420,-869.900150
1659722120.000,1123.323537,-869.277459
1659722121.000,1123.722745,-868.877157
1659722122.000,1124.670018,-867.754088
1659722123.000,1125.509031,-866.341912
1659722124.000,1126.436005,-864.518316
1659722125.000,1127.471239,-862.828153
1659722126.000,1128.533538,-861.393738
1659722127.000,1129.311655,-859.837009
1659722128.000,1129.764993,-858.069010
1659722129.000,1130.076239,-856.423325
1659722130.000,1130.414551,-854.699804
1659722131.000,1130.083006,-852.676056
1659722132.000,1129.068070,-852.698295
1659722133.000,1127.626862,-853.154194
1659722134.000,1126.314213,-853.198672
1659722135.000,1125.238382,-852.709414
1659722136.000,1124.527927,-852.020006
1659722137.000,1124.142252,-851.108208
1659722138.000,1124.818875,-849.996258
1659722139.000,1125.387239,-849.251252
1659722140.000,1125.678187,-848.450649
1659722141.000,1125.312810,-847.449894
1659722142.000,1124.615888,-846.882800
1659722143.000,1123.966329,-845.815329
1659722144.000,1123.567122,-845.392788
1659722145.000,1123.567122,-844.970248
1659722146.000,1123.560355,-844.358675
1659722147.000,1123.729511,-843.691506
1659722148.000,1123.966329,-843.113292
1659722149.000,1123.885135,-842.257091
1659722150.000,1123.891901,-841.534324
1659722151.000,1124.169316,-840.044312
1659722152.000,1123.891901,-838.843407
1659722153.000,1123.519758,-837.686980
1659722154.000,1123.127316,-836.508314
1659722155.000,1122.748407,-835.451962
1659722156.000,1122.308602,-834.562402
1659722157.000,1121.828199,-833.494931
1659722158.000,1121.902628,-832.405221
1659722159.000,1123.005524,-831.938202
1659722160.000,1124.622654,-831.326630
1659722161.000,1125.651122,-830.792894
1659722162.000,1126.422473,-829.758782
1659722163.000,1127.031434,-828.246531
1659722164.000,1127.329148,-826.311739
1659722165.000,1127.484771,-824.643815
1659722166.000,1127.843382,-822.886935
1659722167.000,1128.594434,-821.207892
1659722168.000,1128.953044,-819.462131
1659722169.000,1129.568772,-818.116673
1659722170.000,1129.893551,-816.871290
1659722171.000,1129.839421,-815.536950
1659722172.000,1130.069473,-814.369404
1659722173.000,1130.543110,-813.124021
1659722174.000,1130.847590,-811.767442
1659722175.000,1131.192668,-810.755569
1659722176.000,1131.517447,-809.754814
1659722177.000,1131.781331,-808.609507
1659722178.000,1132.085811,-807.419721
1659722179.000,1132.349694,-806.463444
1659722180.000,1132.566214,-805.318137
1659722181.000,1132.870694,-804.017156
1659722182.000,1133.154876,-802.738414
1659722183.000,1133.445824,-801.192805
1659722184.000,1133.851798,-799.513762
1659722185.000,1134.129214,-797.945913
